movie_id,movie_name,certificate,genre,description,directors,stars
tt0105699,Unlawful Entry,A,"Crime, Drama, Thriller            ",A burglar holds a knife to Karen's throat while her husband does nothing. The couple ends up befriending the cop that comes. The friendship ends when the cop beats up the culprit. Karen isn't ready to end it. Things get ugly with the cop.,Jonathan Kaplan,"     Kurt Russell, Ray Liotta, Madeleine Stowe, Roger E. Mosley"
tt1213012,Alpha and Omega,PG,"Animation, Adventure, Comedy            ","Two young wolves at opposite ends of their pack's social order are thrown together into a foreign land and need each other to return home, but love complicates everything.","Anthony Bell, Ben Gluck","     Hayden Panettiere, Christina Ricci, Justin Long, Dennis Hopper"
tt0466816,Hallam Foe,R,"Drama, Mystery, Romance            ","Hallam's talent for spying on people reveals his darkest fears-and his most peculiar desires. Driven to expose the true cause of his mother's death, he instead finds himself searching the rooftops of the city for love.",David Mackenzie,"     Jamie Bell, Ruth Milne, John Paul Lawler, Claire Forlani"
tt1718199,Wu xia,R,"Action, Crime, Drama            ",A papermaker gets involved with a murder case concerning two criminals leading to a determined detective suspecting him and the former's vicious father searching for him.,Peter Ho-Sun Chan,"     Donnie Yen, Takeshi Kaneshiro, Tang Wei, Jia-Min Li"
tt0250310,Corky Romano,PG-13,"Comedy, Crime            ",The loser son of a Mafia honcho must go undercover for the FBI.,Rob Pritts,"     Chris Kattan, Peter Falk, Vinessa Shaw, Peter Berg"
tt1226240,A Late Quartet,R,"Drama, Music            ","Members of a world-renowned string quartet struggle to stay together in the face of death, competing egos, and insuppressible lust.",Yaron Zilberman,"     Philip Seymour Hoffman, Christopher Walken, Catherine Keener, Mark Ivanir"
tt0458367,Right at Your Door,R,"Drama, Sci-Fi, Thriller            ","A dirty bomb goes off in Los Angeles, jamming freeways and spreading a toxic cloud.",Chris Gorak,"     Mary McCormack, Rory Cochrane, Tony Perez, Scotty Noyd Jr."
tt0091680,One Crazy Summer,U,"Comedy, Romance            ",An aspiring teenage cartoonist and his friends come to the aid of a singer trying to save her family property from developers.,Savage Steve Holland,"     John Cusack, Demi Moore, Linda Warren, Joel Murray"
tt0323013,Lakshya,UA,"Action, Drama, Romance            ","An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero.",Farhan Akhtar,"     Hrithik Roshan, Preity G Zinta, Amitabh Bachchan, Om Puri"
tt0106292,Another Stakeout,UA,"Comedy, Crime            ",Two immature detectives are joined by a pesky assistant district attorney in staking out a lakeside home where a Mafia trial witness is believed to be heading.,John Badham,"     Richard Dreyfuss, Emilio Estevez, Rosie O'Donnell, Dennis Farina"
tt0453548,Snow Angels,R,"Crime, Drama, Romance            ","A drama that interweaves the life of a teenager, with his old baby sitter, her estranged husband, and their daughter.",David Gordon Green,"     Kate Beckinsale, Sam Rockwell, Michael Angarano, Jeannetta Arnette"
tt0283632,They,PG-13,"Horror, Mystery, Thriller            ",A psychology student finds all her childhood fears and phobias becoming real after a traumatic event.,Robert Harmon,"     Laura Regan, Marc Blucas, Ethan Embry, Dagmara Dominczyk"
tt0144201,La fille sur le pont,R,"Comedy, Drama, Romance            ","One night, a fading entertainer intervenes when a woman contemplates suicide, beginning a strange, unpredictable relationship.",Patrice Leconte,"     Vanessa Paradis, Daniel Auteuil, Frédéric Pfluger, Dimitris Georgalas"
tt0120764,My Favorite Martian,PG,"Comedy, Family, Sci-Fi            ",A Martian lands on Earth and makes friends with a reporter.,Donald Petrie,"     Christopher Lloyd, Jeff Daniels, Elizabeth Hurley, Daryl Hannah"
tt3595298,Prem Ratan Dhan Payo,U,"Action, Drama, Musical            ","While recovering from an assassination attempt four days before his coronation, a stern prince is replaced by a romantic lookalike.",Sooraj R. Barjatya,"     Salman Khan, Sonam Kapoor, Neil Nitin Mukesh, Deepak Dobriyal"
tt0082288,Dragonslayer,U,"Action, Adventure, Fantasy            ",A young wizarding apprentice is sent to kill a dragon which has been devouring girls from a nearby kingdom.,Matthew Robbins,"     Peter MacNicol, Caitlin Clarke, Ralph Richardson, John Hallam"
tt0119086,Excess Baggage,UA,"Action, Comedy, Crime            ","A bratty teenager fakes her own kidnapping, but gets mistakenly kidnapped for real instead.",Marco Brambilla,"     Alicia Silverstone, Benicio Del Toro, Christopher Walken, Jack Thompson"
tt0107156,Xi yan,R,"Comedy, Drama, Romance            ","To satisfy his nagging parents, a gay landlord and a female tenant agree to a marriage of convenience, but his parents arrive to visit and things get out of hand.",Ang Lee,"     Winston Chao, May Chin, Ah-Lei Gua, Sihung Lung"
tt3722070,The Lady in the Van,PG-13,"Biography, Comedy, Drama            ",A man forms an unexpected bond with a transient woman living in her van that's parked in his driveway.,Nicholas Hytner,"     Maggie Smith, Alex Jennings, Jim Broadbent, Clare Hammond"
tt0104265,Final Analysis,UA,"Drama, Thriller            ","A psychiatrist becomes romantically involved with the sister of one of his patients, but the influence of her controlling gangster husband threatens to destroy them both.",Phil Joanou,"     Richard Gere, Kim Basinger, Uma Thurman, Eric Roberts"
tt3499096,Race,UA,"Biography, Drama, Sport            ","Jesse Owens' quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy.",Stephen Hopkins,"     Stephan James, Jason Sudeikis, Eli Goree, Shanice Banton"
tt0066601,Zabriskie Point,A,Drama            ,"At a time of chronic civil unrest in late 1960s America, a young idealist and an anthropology student cross paths at Zabriskie Point in Death Valley, California. They start an unrestrained relationship by making love on the dusty terrain.",Michelangelo Antonioni,"     Mark Frechette, Daria Halprin, Paul Fix, G.D. Spradlin"
tt1032856,Bikur Ha-Tizmoret,PG-13,"Comedy, Drama, Music            ","A band comprised of members of the Egyptian police force head to Israel to play at the inaugural ceremony of an Arab arts center, only to find themselves lost in the wrong town.",Eran Kolirin,"     Sasson Gabay, Ronit Elkabetz, Saleh Bakri, Khalifa Natour"
tt0116531,High School High,PG-13,"Comedy, Crime, Romance            ","Richard Clark has just left the well-known Wellington Academy to teach at Marion Barry High School. Now, he will try to inspire the D-average students into making good grades and try to woo a fellow teacher.",Hart Bochner,"     Jon Lovitz, Tia Carrere, Louise Fletcher, Mekhi Phifer"
tt0323939,Shade,R,"Crime, Thriller            ","A group of hustlers encounter ""The Dean"" and pull off a successful sting that results in their pursuit by a vengeful gangster.",Damian Nieman,"     Joe Nicolo, Carl Mazzocone Sr., George Tovar, Frank Medrano"
tt0213790,The Ladies Man,A,Comedy            ,The Saturday Night Live (1975) character gets a big screen treatment.,Reginald Hudlin,"     Tim Meadows, Karyn Parsons, Billy Dee Williams, John Witherspoon"
tt1291465,Raajneeti,UA,"Crime, Drama, Thriller            ","Samar, the son of a political family, plans to go to the USA to live with his girlfriend. However, the death of his father makes him stop and enter the dirty world of politics.",Prakash Jha,"     Ajay Devgn, Ranbir Kapoor, Nana Patekar, Katrina Kaif"
tt0494652,"Welcome Home, Roscoe Jenkins",PG-13,"Comedy, Romance            ","Dr. R.J. Stevens is a talk-show host who visits his family in the Deep South. While there he reunites with his brother Otis, his sister Betty, his cousin/rival Clyde, and his childhood love interest Lucinda Allen.",Malcolm D. Lee,"     Martin Lawrence, Louis C.K., James Earl Jones, Margaret Avery"
tt3704538,V/H/S Viral,R,"Adventure, Crime, Horror            ",A Los Angeles police chase sends a fame-obsessed man on a wild ride to save his girlfriend from a cybernetic terror.,"Justin Benson, Gregg Bishop, Todd Lincoln, Aaron Moorhead, Marcel Sarmiento, Nacho Vigalondo","     Patrick Lawrie, Emilia Ares, Celia K. Milius, Steve Berens"
tt1135525,The Slammin' Salmon,R,Comedy            ,The owner of a Miami restaurant indebted to the mob institutes a contest to see what waiter can earn the most money in one night.,Kevin Heffernan,"     Michael Clarke Duncan, Jay Chandrasekhar, Kevin Heffernan, Jeff Chase"
tt1407084,Twelve,R,"Action, Drama, Thriller            ","A young drug dealer watches as his high-rolling life is dismantled in the wake of his cousin's murder, which sees his best friend arrested for the crime.",Joel Schumacher,"     Chace Crawford, Emma Roberts, Rory Culkin, Philip Ettinger"
tt1438298,Guzaarish,UA,"Drama, Romance            ","Ethan, a magician rendered paralyzed in an accident, sets off a furor when he makes a petition to the court to end his own life.",Sanjay Leela Bhansali,"     Hrithik Roshan, Aishwarya Rai Bachchan, Shernaz Patel, Aditya Roy Kapoor"
tt0107983,Romeo Is Bleeding,R,"Crime, Drama, Romance            ","A womanizing, crooked cop on the payroll of the mafia is confronted with the reality of his double life after he is asked to kill a beautiful and ruthless Russian gangster.",Peter Medak,"     Gary Oldman, Lena Olin, Wallace Wood, Juliette Lewis"
tt0107096,Heaven & Earth,A,"Action, Biography, Drama            ","During the Vietnam War, a Vietnamese woman struggles hustling on the streets, where she comes face to face with those involved in the conflict around her.",Oliver Stone,"     Hiep Thi Le, Tommy Lee Jones, Haing S. Ngor, Bussaro Sanruck"
tt0099204,Cadillac Man,A,"Comedy, Crime            ",Joey gets 2 days to sell 12 cars to keep his job and keep his girlfriends happy. It gets worse. He's juggling 3 buyers when a guy with a machine gun crashes into the car dealership and takes everybody hostage.,Roger Donaldson,"     Robin Williams, Tim Robbins, Pamela Reed, Fran Drescher"
tt1049402,Howl,R,"Biography, Drama, Romance            ","As Allen Ginsberg talks about his life and art, his most famous poem is illustrated in animation while the obscenity trial of the work is dramatized.","Rob Epstein, Jeffrey Friedman","     James Franco, Todd Rotondi, Jon Prescott, Aaron Tveit"
tt1185420,Dostana,UA 16+,"Comedy, Drama, Romance            ","Two straight guys pretend to be gay in order to secure a Miami apartment. When both of them fall for their roommate Neha, hilarity ensues as they strive to convince one and all that they're gay whilst secretly trying to win her heart.","Tarun Mansukhani, Punit Malhotra","     Abhishek Bachchan, John Abraham, Priyanka Chopra Jonas, Kirron Kher"
